pc_timestamp_ns,sender_ip,seq,timestamp_ms,acc_x_g,acc_y_g,acc_z_g
1781002790320686650,192.168.1.188,516068,5228371,1.1427,0.0975,-0.0858
1781002790330685998,192.168.1.188,516069,5228381,1.0452,0.0858,-0.0936
1781002790340679117,192.168.1.188,516070,5228391,0.8892,-0.0507,-0.0936
1781002790350764137,192.168.1.188,516071,5228401,0.8385,0.1248,-0.0585
1781002790362638754,192.168.1.188,516072,5228411,0.9828,0.1209,-0.1287
1781002790371420347,192.168.1.188,516073,5228421,1.0998,0.1521,-0.1131
1781002790380940024,192.168.1.188,516074,5228431,1.0296,0.1287,-0.1014
1781002790390682251,192.168.1.188,516075,5228441,1.0803,0.1287,-0.0741
1781002790400640210,192.168.1.188,516076,5228451,1.0608,0.1287,-0.078
1781002790410691709,192.168.1.188,516077,5228461,0.9321,0.195,-0.0858
1781002790420683738,192.168.1.188,516078,5228471,1.014,0.1677,-0.0585
1781002790430797057,192.168.1.188,516079,5228481,1.2441,0.0078,-0.1872
1781002790441565969,192.168.1.188,516080,5228491,0.9633,-0.0468,-0.078
1781002790450734174,192.168.1.188,516081,5228501,1.0296,-0.1248,-0.1404
1781002790460958474,192.168.1.188,516082,5228511,0.3822,0.0897,-0.0975
1781002790478930502,192.168.1.188,516083,5228521,1.1778,0.2496,-0.0429
1781002790480809601,192.168.1.188,516084,5228531,1.092,0.2184,-0.0663
1781002790490684839,192.168.1.188,516085,5228541,1.0023,-0.0507,-0.1482
1781002790500846449,192.168.1.188,516086,5228551,1.0218,0.0312,-0.0507
1781002790510986728,192.168.1.188,516087,5228561,1.0374,0.2067,-0.0897
1781002790524382193,192.168.1.188,516088,5228571,1.0959,0.2457,-0.1326
1781002790530658194,192.168.1.188,516089,5228581,1.0452,0.1521,-0.0975
1781002790540640093,192.168.1.188,516090,5228591,0.9438,0.1716,-0.0624
1781002790551502916,192.168.1.188,516091,5228601,1.0257,0.1404,-0.0936
1781002790560661790,192.168.1.188,516092,5228611,1.1583,0.0702,-0.0585
1781002790570720139,192.168.1.188,516093,5228621,1.1583,0.1872,-0.0897
1781002790582179025,192.168.1.188,516094,5228631,0.9243,0.0429,-0.1365
1781002790590711917,192.168.1.188,516095,5228641,0.8853,-0.468,-0.156
1781002790600705626,192.168.1.188,516096,5228651,0.7644,-0.1131,-0.0897
1781002790611551238,192.168.1.188,516097,5228661,1.1388,-0.039,-0.1872
1781002790620640823,192.168.1.188,516098,5228671,1.9422,0.1404,0.0507
1781002790633306425,192.168.1.188,516099,5228681,1.1466,0.3393,-0.1092
1781002790640733541,192.168.1.188,516100,5228691,0.9945,0.0624,-0.1482
1781002790650942851,192.168.1.188,516101,5228701,0.8736,-0.0273,-0.0897
1781002790660621178,192.168.1.188,516102,5228711,1.0257,0.0936,-0.0507
1781002790670622357,192.168.1.188,516103,5228721,1.0764,0.1989,-0.1092
1781002790680849327,192.168.1.188,516104,5228731,1.1895,0.1638,-0.1248
1781002790691265587,192.168.1.188,516105,5228741,1.0413,0.1755,-0.0975
1781002790700670803,192.168.1.188,516106,5228751,1.0725,0.1443,-0.0819
1781002790713499246,192.168.1.188,516107,5228761,1.053,0.0975,-0.0936
1781002790720670951,192.168.1.188,516108,5228771,0.9282,0.1794,-0.0819
1781002790730626049,192.168.1.188,516109,5228781,1.0335,0.3471,-0.0819
1781002790740767159,192.168.1.188,516110,5228791,1.1388,-0.0468,-0.2028
1781002790755551271,192.168.1.188,516111,5228801,0.9438,-0.0975,-0.0585
1781002790762236413,192.168.1.188,516112,5228811,0.9672,-0.1833,-0.1599
1781002790770641475,192.168.1.188,516113,5228821,0.3939,0.039,-0.1053
1781002790780992265,192.168.1.188,516114,5228831,1.1856,0.3315,0.0312
1781002790791164635,192.168.1.188,516115,5228841,1.1271,0.2184,-0.078
1781002790800674031,192.168.1.188,516116,5228851,0.936,-0.0312,-0.1326
1781002790813356393,192.168.1.188,516117,5228861,1.1232,0.0702,-0.0273
1781002790824511038,192.168.1.188,516118,5228871,0.9789,0.156,-0.0897
1781002790830715808,192.168.1.188,516119,5228881,1.053,0.2145,-0.1365
1781002790840733087,192.168.1.188,516120,5228891,0.9438,0.156,-0.0975
1781002790850634615,192.168.1.188,516121,5228901,1.0452,0.1521,-0.0702
1781002790860586633,192.168.1.188,516122,5228911,1.0062,0.1599,-0.0975
1781002790870590192,192.168.1.188,516123,5228921,1.0491,0.117,-0.1014
1781002790886999962,192.168.1.188,516124,5228931,1.092,0.1599,-0.0936
1781002790890794521,192.168.1.188,516125,5228941,0.9867,0.0702,-0.1482
1781002790900844150,192.168.1.188,516126,5228951,1.4898,0.0663,-0.0156
1781002790913652032,192.168.1.188,516127,5228961,0.7956,-0.039,-0.0546
1781002790927272099,192.168.1.188,516128,5228971,1.1505,0.0507,-0.2184
1781002790931780851,192.168.1.188,516129,5228981,2.1567,0.0975,0.117
1781002790940592534,192.168.1.188,516130,5228991,1.3767,0.2574,-0.0624
1781002790950644293,192.168.1.188,516131,5229001,1.0959,0.0429,-0.1326
1781002790960644731,192.168.1.188,516132,5229011,0.897,-0.0234,-0.0936
1781002790970802261,192.168.1.188,516133,5229021,1.0413,0.1209,-0.0429
1781002790980789140,192.168.1.188,516134,5229031,1.0296,0.1716,-0.1131
1781002790991278781,192.168.1.188,516135,5229041,1.1817,0.1521,-0.1209
1781002791000685237,192.168.1.188,516136,5229051,1.1817,0.1521,-0.1209
1781002791010622905,192.168.1.188,516137,5229061,1.0881,0.1833,-0.0975
1781002791020714954,192.168.1.188,516138,5229071,1.0647,0.1365,-0.0858
1781002791030601403,192.168.1.188,516139,5229081,1.0296,0.1248,-0.0702
1781002791041921938,192.168.1.188,516140,5229091,0.9165,0.1365,-0.078
1781002791050754021,192.168.1.188,516141,5229101,1.0023,0.0078,-0.1014
1781002791060606609,192.168.1.188,516142,5229111,1.1817,0.0039,-0.1872
1781002791074038315,192.168.1.188,516143,5229121,0.8385,-0.0195,-0.1209
1781002791080708257,192.168.1.188,516144,5229131,0.8697,-0.0429,-0.2145
1781002791093412639,192.168.1.188,516145,5229141,0.4095,0.1404,-0.0507
1781002791100688615,192.168.1.188,516146,5229151,1.092,0.1794,-0.0078
1781002791111811319,192.168.1.188,516147,5229161,0.8697,0.0546,-0.1482
1781002791122562471,192.168.1.188,516148,5229171,0.9087,-0.0234,-0.1326
1781002791130712311,192.168.1.188,516149,5229181,0.8892,0.0975,-0.0663
1781002791144308607,192.168.1.188,516150,5229191,1.0413,0.1014,-0.0819
1781002791153487142,192.168.1.188,516151,5229201,1.0374,0.1911,-0.1365
1781002791162303465,192.168.1.188,516152,5229211,0.9633,0.1755,-0.1131
1781002791179974471,192.168.1.188,516153,5229221,0.9828,0.2028,-0.0663
1781002791180584594,192.168.1.188,516154,5229231,1.0218,0.156,-0.0858
1781002791190849275,192.168.1.188,516155,5229241,1.1076,0.078,-0.1014
1781002791200835663,192.168.1.188,516156,5229251,1.053,0.1248,-0.0819
1781002791210559090,192.168.1.188,516157,5229261,0.9399,0.0546,-0.0819
1781002791220867841,192.168.1.188,516158,5229271,1.053,-0.0234,-0.2808
